监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),气压(MBar),近地风速(m/s),风向(°)
2019/4/17 16:00,监测点A2,10,51,82,55,243,1.1,26.9,57,1007,0.9,17.5
2019/4/17 17:00,监测点A2,12,66,154,75,243,1.3,26.4,60,1007,0.7,18.2
2019/4/17 18:00,监测点A2,13,75,128,91,208,1.4,26,63,1007,0.6,17.6
2019/4/17 19:00,监测点A2,6,57,164,112,116,1.1,25.1,67,1007.9,1.1,17.2
2019/4/17 20:00,监测点A2,6,41,104,66,104,1,25,68,1008,1.7,15.7
2019/4/17 21:00,监测点A2,7,51,73,56,68,1.1,24.8,71,1008.6,0.7,15.9
2019/4/17 22:00,监测点A2,7,43,71,52,53,1,24,71,1009,1.2,15.9
2019/4/17 23:00,监测点A2,6,42,68,36,41,1,24,74,1009,1.4,15.8
2019/4/18 0:00,监测点A2,6,36,71,40,48,0.9,23.1,75,1008.8,1.7,15.8
2019/4/18 1:00,监测点A2,11,26,56,38,62,0.8,23,75,1008,1.9,15.9
2019/4/18 2:00,监测点A2,6,26,47,35,46,0.8,23,76,1007.3,1.1,15.8
2019/4/18 3:00,监测点A2,5,35,46,35,32,0.8,23,77,1006.9,0.7,15.3
2019/4/18 4:00,监测点A2,4,26,58,26,51,0.8,23,76,1007,0.5,14.1
2019/4/18 5:00,监测点A2,3,24,29,19,58,0.8,23,77,1007,1,14.2
2019/4/18 6:00,监测点A2,3,38,26,26,41,0.8,23,76,1007.5,0.9,12.4
2019/4/18 7:00,监测点A2,3,46,41,31,38,1,23,75,1007.7,1.1,14.6
2019/4/18 8:00,监测点A2,3,49,40,27,43,1,23.5,74,1008,0.8,14.2
2019/4/18 9:00,监测点A2,3,58,50,29,39,1,24,74,1008,0.9,13.2
2019/4/18 10:00,监测点A2,3,56,55,26,44,0.9,24,72,1008,0.8,13.9
2019/4/18 11:00,监测点A2,3,51,53,28,55,0.9,24.1,72,1008,1.4,13
2019/4/18 12:00,监测点A2,3,39,54,21,70,0.8,24.6,71,1007,1.7,14.6
2019/4/18 13:00,监测点A2,2,31,55,27,77,0.8,25,71,1005.8,1.6,14.5
2019/4/18 14:00,监测点A2,2,39,39,20,62,0.8,25,72,1004.8,1.4,14.2
2019/4/18 15:00,监测点A2,2,35,36,22,62,0.8,24.4,74,1004.1,1.5,15.1
2019/4/18 16:00,监测点A2,0,0,38,17,0,0,24,78,1003.7,1.3,15.2
2019/4/18 17:00,监测点A2,2,48,32,20,37,0.9,24,82,1004,0.7,15
2019/4/18 18:00,监测点A2,2,53,27,20,24,1.1,24,85,1004,0.5,13
2019/4/18 19:00,监测点A2,1,47,32,20,28,0.9,24,83,1004.4,0.6,11.2
2019/4/18 20:00,监测点A2,1,48,24,22,23,0.8,24,84,1005,0.6,10.5
2019/4/18 21:00,监测点A2,1,52,29,19,16,0.8,24,83,1005.5,0.5,10.5
2019/4/18 22:00,监测点A2,2,50,32,25,21,0.8,24,82,1006,0.8,8.9
2019/4/18 23:00,监测点A2,2,25,35,18,52,0.7,23.3,79,1006,0.6,12.4
2019/4/19 0:00,监测点A2,2,22,11,13,56,0.6,23,79,1005.2,0.4,11.7
2019/4/19 1:00,监测点A2,2,18,19,13,59,0.6,23.6,78,1004.9,0.6,13.4
2019/4/19 2:00,监测点A2,1,27,18,12,39,0.6,23,80,1003.8,0.3,10.8
2019/4/19 3:00,监测点A2,2,29,10,10,37,0.6,23,79,1003.1,0.4,6.5
2019/4/19 4:00,监测点A2,2,36,13,10,30,0.6,23,81,1004,1.1,5
2019/4/19 5:00,监测点A2,3,50,25,16,9,0.7,23,81,1004,1.2,4
2019/4/19 6:00,监测点A2,3,45,34,15,22,0.7,23,77,1003.8,1.1,5.6
2019/4/19 7:00,监测点A2,2,54,23,8,15,0.9,23,78,1004,1.8,7.6
2019/4/19 8:00,监测点A2,2,45,33,20,27,0.8,23.4,77,1004.1,1.4,7.9
2019/4/19 9:00,监测点A2,3,53,29,15,13,0.9,24,78,1005,1.3,7.3
2019/4/19 10:00,监测点A2,3,51,40,18,4,0.9,24.6,81,1005,1.7,6.3
2019/4/19 11:00,监测点A2,3,52,46,27,30,0.8,22.8,79,1005.2,2.9,5.9
2019/4/19 12:00,监测点A2,2,27,35,20,76,0.7,21.1,85,1004.7,2.1,5.4
2019/4/19 13:00,监测点A2,1,29,8,11,79,0.7,21,86,1004.2,1.5,7.2
2019/4/19 14:00,监测点A2,1,40,11,11,71,0.7,21,86,1004,2,7.4
2019/4/19 15:00,监测点A2,1,34,14,17,78,0.7,21,85,1003.1,1.6,7.1
2019/4/19 16:00,监测点A2,1,44,18,13,64,0.7,21,85,1003,2,7.8
2019/4/19 17:00,监测点A2,1,56,25,12,48,0.8,21,85,1003,1.4,8.2
2019/4/19 18:00,监测点A2,2,55,24,11,44,0.9,21,84,1003,1.4,8.5
2019/4/19 19:00,监测点A2,1,49,28,20,39,0.8,21,85,1004,1.7,8.8
2019/4/19 20:00,监测点A2,2,38,29,20,46,0.7,21,84,1004.6,1.4,7.5
2019/4/19 21:00,监测点A2,2,44,34,26,35,0.8,21,84,1005,0.9,6.9
2019/4/19 22:00,监测点A2,2,53,33,25,19,0.8,21.6,83,1005.4,0.5,7.5
2019/4/19 23:00,监测点A2,2,61,39,26,4,0.8,22,84,1006,0.2,17.9
2019/4/20 0:00,监测点A2,2,60,50,30,3,0.9,22,84,1006,0.2,24.8
2019/4/20 1:00,监测点A2,2,60,58,38,1,1,21.4,85,1005.8,0.7,16.4
2019/4/20 2:00,监测点A2,3,63,53,35,1,1,21,85,1004.3,0.7,8.6
2019/4/20 3:00,监测点A2,3,57,54,38,1,0.9,21,85,1004,0.5,6.9
2019/4/20 4:00,监测点A2,3,54,53,41,1,0.9,21,85,1004,0.8,7
2019/4/20 5:00,监测点A2,4,55,58,44,1,0.9,21,85,1003.8,0.7,7.6
2019/4/20 6:00,监测点A2,4,53,58,39,2,1,21.5,85,1004.6,0.4,5.9
2019/4/20 7:00,监测点A2,4,50,54,42,7,1,22,83,1004.8,1,6.8
2019/4/20 8:00,监测点A2,4,46,53,40,14,1,22.8,80,1004,1.6,7.8
2019/4/20 9:00,监测点A2,4,54,48,32,9,1,23.5,79,1004,0.6,7.4
2019/4/20 10:00,监测点A2,3,55,50,32,3,1,23.9,81,1004,0.9,13.2
2019/4/20 11:00,监测点A2,3,55,60,33,2,1,22.7,84,1004.5,2.2,27.9
2019/4/20 12:00,监测点A2,2,46,66,38,14,0.9,21.3,87,1004.2,1,19.5
2019/4/20 13:00,监测点A2,2,54,14,10,11,1,21.2,87,1003.8,0.7,21.5
2019/4/20 14:00,监测点A2,2,51,22,17,18,1,22,87,1002.7,1,15.4
2019/4/20 15:00,监测点A2,3,44,19,15,33,0.9,22.9,82,1002,1.6,16.3
2019/4/20 16:00,监测点A2,3,46,19,16,45,0.9,24,77,1002,0.5,15.9
2019/4/20 17:00,监测点A2,3,54,26,20,33,0.9,24,77,1002.6,1,8
2019/4/20 18:00,监测点A2,3,59,25,22,17,1.1,23.3,82,1003.1,0.7,8.7
2019/4/20 19:00,监测点A2,2,53,30,21,19,0.9,23,83,1003.3,0.4,11.6
2019/4/20 20:00,监测点A2,2,52,26,20,17,0.9,23,83,1004,0.4,7.8
2019/4/20 21:00,监测点A2,2,49,26,18,16,0.9,22.8,84,1004.9,0.8,8
2019/4/20 22:00,监测点A2,2,53,25,22,8,1,22.4,84,1005,0.4,12.9
2019/4/20 23:00,监测点A2,2,51,37,29,4,1,23,84,1005.6,0.1,23.7
2019/4/21 0:00,监测点A2,2,50,33,24,2,1,22.3,86,1005,0.2,7.6
2019/4/21 1:00,监测点A2,2,52,36,24,1,0.9,22,86,1004.7,0.2,8
2019/4/21 2:00,监测点A2,2,51,33,21,1,0.9,22,86,1004,0.5,7
2019/4/21 3:00,监测点A2,2,59,35,22,1,0.9,22,86,1003.5,0.4,7.2
2019/4/21 4:00,监测点A2,2,56,37,25,1,1,22,87,1003.5,0.3,5.3
2019/4/21 5:00,监测点A2,2,52,42,27,1,1.1,22,87,1004,0.3,6.4
2019/4/21 6:00,监测点A2,3,47,47,31,1,1.2,22,86,1004.4,0.6,7.3
2019/4/21 7:00,监测点A2,5,45,55,36,2,1.2,23,85,1005.2,0.5,7.5
2019/4/21 8:00,监测点A2,6,48,61,40,6,1.2,23.5,82,1005.5,0.7,9.4
2019/4/21 9:00,监测点A2,7,58,60,40,7,1.2,25.1,78,1006,0.5,14.2
2019/4/21 10:00,监测点A2,6,57,65,37,12,1.1,25.7,78,1006,0.7,15.8
2019/4/21 11:00,监测点A2,7,66,70,42,12,1.2,26,77,1005.7,0.3,18.2
2019/4/21 12:00,监测点A2,14,67,80,50,19,1.2,26.9,76,1005,0.2,10.7
2019/4/21 13:00,监测点A2,8,44,90,46,10,0.9,27,79,1004.6,0.6,6.9
2019/4/21 14:00,监测点A2,4,39,55,31,10,0.9,27,79,1004,0.5,6.6
2019/4/21 15:00,监测点A2,5,36,56,28,14,0.8,28,76,1003,1.2,15.2
2019/4/21 16:00,监测点A2,8,20,51,22,58,0.7,25.4,80,1002.8,2.3,17.7
2019/4/21 17:00,监测点A2,3,24,38,28,78,0.8,22.8,86,1003,0.5,10.5
2019/4/21 18:00,监测点A2,2,57,24,21,22,1.2,24,83,1003,0.4,8.2
2019/4/21 19:00,监测点A2,2,59,39,31,4,1.1,24.7,83,1004,0.7,8.6
2019/4/21 20:00,监测点A2,2,35,38,24,2,1,25.7,85,1004.6,0.4,9.7
2019/4/21 21:00,监测点A2,2,43,41,22,0,1.1,25,86,1005.4,0.6,5.8
2019/4/21 22:00,监测点A2,1,41,38,27,0,0.8,25,87,1006.3,0.9,7.5
2019/4/21 23:00,监测点A2,2,40,29,21,0,0.8,25,87,1006.6,0.9,8.6
2019/4/22 0:00,监测点A2,2,36,35,19,0,0.8,25,87,1006,0.6,7.6
2019/4/22 1:00,监测点A2,2,35,30,16,0,0.7,25,88,1005.1,1.1,7.9
2019/4/22 2:00,监测点A2,1,32,30,27,0,0.7,24.9,88,1004.9,0.7,7.2
2019/4/22 3:00,监测点A2,2,28,57,21,0,0.7,24.1,88,1004,0.7,7.6
2019/4/22 4:00,监测点A2,2,26,22,18,1,0.7,24,88,1004,0.2,6
2019/4/22 5:00,监测点A2,2,24,33,19,1,0.8,24,88,1004.9,0,33
2019/4/22 6:00,监测点A2,2,26,37,20,1,0.9,24.6,88,1005,0.4,8.5
2019/4/22 7:00,监测点A2,3,22,35,21,5,1,25.3,85,1005.6,1,15.3
2019/4/22 8:00,监测点A2,8,19,33,19,13,0.9,26.4,80,1006,2,15.6
2019/4/22 9:00,监测点A2,9,15,37,25,26,0.9,27.7,73,1006.5,2.1,16.7
2019/4/22 10:00,监测点A2,7,12,42,21,37,0.8,28,70,1007,2.4,16
2019/4/22 11:00,监测点A2,5,11,36,18,44,0.7,28.5,68,1007,2.5,17
2019/4/22 12:00,监测点A2,4,9,38,16,59,0.6,29,66,1006.4,2.5,16.8
2019/4/22 13:00,监测点A2,3,11,30,15,59,0.6,29,64,1005.6,1.3,17.9
2019/4/22 14:00,监测点A2,2,12,30,15,53,0.6,29,64,1004.4,1.6,18.2
2019/4/22 15:00,监测点A2,3,14,28,19,50,0.6,29,63,1004.2,1.4,16.2
2019/4/22 16:00,监测点A2,3,16,33,20,49,0.6,29,62,1004.4,1.6,15.7
2019/4/22 17:00,监测点A2,7,25,32,18,27,0.7,29,63,1005,1.1,15.1
2019/4/22 18:00,监测点A2,4,33,37,19,36,0.8,26.4,71,1005.6,2,8
2019/4/22 19:00,监测点A2,3,39,40,15,35,0.9,25,76,1006,2.1,7.3
2019/4/22 20:00,监测点A2,3,56,30,17,4,1,25,78,1006.3,0.5,7.4
2019/4/22 21:00,监测点A2,3,49,40,24,1,1.1,25.3,79,1007.3,0.1,14
2019/4/22 22:00,监测点A2,4,30,52,23,1,0.8,26,76,1008,0.8,15.6
2019/4/22 23:00,监测点A2,11,26,36,18,1,0.7,26,76,1008,1.5,16
2019/4/23 0:00,监测点A2,9,21,30,19,6,0.7,26,79,1007.5,1.4,16
2019/4/23 1:00,监测点A2,5,20,28,14,5,0.6,25.5,81,1007,0.2,15
2019/4/23 2:00,监测点A2,3,23,27,13,1,0.7,25,82,1007,0.1,8.9
2019/4/23 3:00,监测点A2,3,22,36,17,1,0.7,25,85,1006.5,0.3,7.5
2019/4/23 4:00,监测点A2,3,23,33,19,1,0.7,25,86,1007,0.6,7.3
2019/4/23 5:00,监测点A2,3,24,32,21,1,0.7,25,87,1007.6,0.7,5.5
2019/4/23 6:00,监测点A2,3,28,30,17,1,0.8,24,87,1007.8,0.3,7.6
2019/4/23 7:00,监测点A2,3,32,47,28,2,1.1,24.2,86,1008,0.9,6.3
2019/4/23 8:00,监测点A2,6,33,63,39,6,1.1,26.3,79,1008,1.1,14.3
2019/4/23 9:00,监测点A2,9,20,63,30,26,0.8,27.9,70,1008.8,1.7,16.9
2019/4/23 10:00,监测点A2,7,16,39,26,45,0.7,29.2,62,1009,1.6,18.5
2019/4/23 11:00,监测点A2,4,14,39,17,59,0.7,29.9,59,1008.6,1.6,17.8
2019/4/23 12:00,监测点A2,3,9,36,17,69,0.6,30.5,54,1007.7,2,18.1
2019/4/23 13:00,监测点A2,2,7,29,14,72,0.6,31.4,52,1006.6,1.5,18.3
2019/4/23 14:00,监测点A2,3,9,17,12,73,0.6,32,51,1006,1.7,18.1
2019/4/23 15:00,监测点A2,3,11,21,14,70,0.6,32,51,1005.5,1.6,17.6
2019/4/23 16:00,监测点A2,2,11,23,13,57,0.6,31.8,51,1005,1.7,19.2
2019/4/23 17:00,监测点A2,2,15,24,17,46,0.7,31.3,53,1005,1.5,19.8
2019/4/23 18:00,监测点A2,2,22,29,15,32,0.7,30.2,60,1005.7,2.1,15.8
2019/4/23 19:00,监测点A2,6,25,33,17,20,0.7,29,64,1006,2.3,15.8
2019/4/23 20:00,监测点A2,7,24,42,22,14,0.7,28.1,67,1006.1,1.8,16.3
2019/4/23 21:00,监测点A2,4,21,34,17,15,0.6,27.4,72,1007,2.7,15.3
2019/4/23 22:00,监测点A2,3,20,34,21,14,0.6,27,75,1007.3,1.9,16.9
2019/4/23 23:00,监测点A2,4,25,29,17,7,0.6,26.8,77,1007,1.6,15.2
2019/4/24 0:00,监测点A2,4,23,23,15,8,0.6,26,78,1007,1.1,16.2
2019/4/24 1:00,监测点A2,3,21,24,14,8,0.6,26,80,1006.8,1,17.4
2019/4/24 2:00,监测点A2,3,17,21,14,10,0.6,26,81,1006,1,16.3
2019/4/24 3:00,监测点A2,3,20,25,17,7,0.6,26,81,1005.2,1.4,15.8
2019/4/24 4:00,监测点A2,5,27,24,15,1,0.6,26,79,1005.3,0.6,16.4
2019/4/24 5:00,监测点A2,9,28,30,21,1,0.6,26,80,1006,0.7,17
2019/4/24 6:00,监测点A2,7,23,29,17,5,0.6,25.7,81,1006.6,1.1,17.4
2019/4/24 7:00,监测点A2,7,21,24,15,10,0.7,26.1,78,1007.5,1.4,17.1
2019/4/24 8:00,监测点A2,8,17,35,20,20,0.7,27.1,70,1008.5,1.1,19.2
2019/4/24 9:00,监测点A2,4,12,32,17,29,0.6,27.8,67,1009,1.3,18.5
2019/4/24 10:00,监测点A2,3,10,28,11,48,0.6,29.2,60,1008.9,1.6,18.5
2019/4/24 11:00,监测点A2,2,8,22,13,66,0.6,30,55,1008,2,18.8
2019/4/24 12:00,监测点A2,3,10,18,17,95,0.6,30.4,53,1007.6,2,16.3
2019/4/24 13:00,监测点A2,3,10,34,22,115,0.6,31,51,1006.7,1.6,17.3
2019/4/24 14:00,监测点A2,4,8,36,22,104,0.5,31.4,50,1005.6,2.1,16.9
2019/4/24 15:00,监测点A2,5,10,34,16,96,0.6,31.3,51,1005,2,17.3
2019/4/24 16:00,监测点A2,3,9,30,17,91,0.5,31.1,52,1005,2,15.3
2019/4/24 17:00,监测点A2,3,14,30,17,71,0.6,30.8,55,1005,1.9,16.9
2019/4/24 18:00,监测点A2,2,14,34,18,52,0.6,29.8,59,1005,2.6,15.8
2019/4/24 19:00,监测点A2,6,22,32,17,29,0.6,28.7,64,1005,3.4,15.7
2019/4/24 20:00,监测点A2,5,15,37,17,31,0.6,28,68,1005.2,3.2,15.6
2019/4/24 21:00,监测点A2,3,13,34,17,30,0.6,27.2,70,1006,3.1,15.5
2019/4/24 22:00,监测点A2,2,14,26,19,27,0.6,27,71,1006,1.4,16.8
2019/4/24 23:00,监测点A2,2,12,29,14,29,0.6,26.9,73,1006,1.7,15.9
2019/4/25 0:00,监测点A2,3,16,25,17,26,0.5,26,76,1005.9,1.6,15.6
2019/4/25 1:00,监测点A2,3,16,22,17,23,0.6,26,78,1005.1,0.7,16.7
2019/4/25 2:00,监测点A2,4,17,31,22,22,0.6,26,77,1005.4,0.5,18.6
2019/4/25 3:00,监测点A2,3,13,36,21,25,0.5,26,78,1005.4,0.5,16.7
2019/4/25 4:00,监测点A2,2,17,32,20,18,0.6,26,78,1005.2,1.1,16.5
2019/4/25 5:00,监测点A2,3,20,36,17,15,0.6,26,77,1005,1.5,15.8
2019/4/25 6:00,监测点A2,3,21,28,16,17,0.6,26,75,1005.4,1.1,17.3
2019/4/25 7:00,监测点A2,5,21,32,22,20,0.7,27,70,1006.2,1.6,18.6
2019/4/25 8:00,监测点A2,5,18,28,22,29,0.7,27.9,66,1007,1.9,18.6
2019/4/25 9:00,监测点A2,4,13,47,25,44,0.6,28.7,61,1007.8,1.7,19.2
2019/4/25 10:00,监测点A2,2,10,38,22,58,0.6,29.4,59,1008,2,20
2019/4/25 11:00,监测点A2,0,0,33,21,0,0,30,58,1008,1.7,19.9
2019/4/25 12:00,监测点A2,0,0,40,21,0,0,30.1,56,1007.4,1.7,19.5
2019/4/25 13:00,监测点A2,5,15,39,18,79,0.6,30.9,55,1006.8,1.5,21
2019/4/25 14:00,监测点A2,2,15,34,21,82,0.6,31.3,53,1006,1,19.3
2019/4/25 15:00,监测点A2,2,12,38,20,76,0.6,31.6,53,1005.2,1.3,18.1
2019/4/25 16:00,监测点A2,2,22,76,54,85,0.6,32,52,1005,1.3,18.6
2019/4/25 17:00,监测点A2,2,22,44,24,75,0.7,31.9,51,1005,1.4,20.6
2019/4/25 18:00,监测点A2,2,44,45,23,42,0.8,31,54,1005,1,19.1
2019/4/25 19:00,监测点A2,3,43,54,32,34,0.8,30,59,1005,1.1,16.5
2019/4/25 20:00,监测点A2,5,49,59,32,19,0.8,29.3,64,1006,1.2,15.3
2019/4/25 21:00,监测点A2,6,45,59,30,15,0.8,29,65,1006.4,1.3,16
2019/4/25 22:00,监测点A2,6,42,58,31,14,0.8,28.6,66,1007,1.3,15.8
2019/4/25 23:00,监测点A2,11,49,57,29,7,0.8,28,67,1006.7,1.1,16.1
2019/4/26 0:00,监测点A2,9,39,53,29,13,0.7,27.9,69,1006.3,0.8,17.4
2019/4/26 1:00,监测点A2,7,41,48,29,12,0.7,27,70,1006,0.8,17.4
2019/4/26 2:00,监测点A2,7,48,47,26,4,0.7,27,73,1006,0.8,16.6
2019/4/26 3:00,监测点A2,8,41,53,27,10,0.7,27,75,1005.2,1.1,17
2019/4/26 4:00,监测点A2,6,35,50,29,14,0.6,26.4,78,1005.9,1,17
2019/4/26 5:00,监测点A2,5,33,39,30,15,0.6,26,79,1006,0.6,16.8
2019/4/26 6:00,监测点A2,5,33,43,28,16,0.7,26.1,79,1007,0.3,15
2019/4/26 7:00,监测点A2,6,39,48,28,12,0.8,27,76,1007.8,0.5,14.8
2019/4/26 8:00,监测点A2,15,37,53,31,20,0.8,27.3,73,1008,1.1,15.4
2019/4/26 9:00,监测点A2,10,30,57,27,38,0.8,28.2,68,1008.7,1.2,15.7
2019/4/26 10:00,监测点A2,9,29,49,29,54,0.7,29.2,63,1009,1.4,17.5
2019/4/26 11:00,监测点A2,6,30,49,27,68,0.8,29.5,62,1008.4,1.2,19.7
2019/4/26 12:00,监测点A2,4,29,60,34,64,0.7,27.5,65,1008.1,1.8,14
2019/4/26 13:00,监测点A2,0,30,60,19,0,0,27.8,66,1007.6,2.2,4
2019/4/26 14:00,监测点A2,0,0,984,985,66,0,25.8,72,1006.8,1.7,8
2019/4/26 15:00,监测点A2,0,0,27,985,81,0,27.5,67,1006,1.6,7.7
2019/4/26 16:00,监测点A2,0,0,25,13,70,0,28.8,66,1005.4,1.1,8.9
2019/4/26 17:00,监测点A2,3,47,43,22,48,0.8,29.6,67,1005.4,0.6,7.2
2019/4/26 18:00,监测点A2,3,52,56,27,29,0.9,29,67,1006,0.6,9.6
2019/4/26 19:00,监测点A2,4,50,66,31,19,0.8,28.6,68,1006.3,0.4,11.5
2019/4/26 20:00,监测点A2,4,49,58,28,9,0.8,28,71,1007.5,0.6,12.9
2019/4/26 21:00,监测点A2,3,42,51,27,12,0.8,28,73,1008,0.9,15
2019/4/26 22:00,监测点A2,3,41,41,26,13,0.7,28,73,1008.7,0.6,14.3
2019/4/26 23:00,监测点A2,3,35,44,28,16,0.7,27,73,1009.6,0.4,7.6
2019/4/27 0:00,监测点A2,3,30,42,25,49,0.6,25.5,72,1010,2.1,11.9
2019/4/27 1:00,监测点A2,2,21,38,17,76,0.6,22.5,82,1010,1.7,9
2019/4/27 2:00,监测点A2,2,21,16,8,83,0.6,22.3,79,1009.2,2.2,8.4
2019/4/27 3:00,监测点A2,2,27,13,13,72,0.6,23,76,1008.7,1.4,7
2019/4/27 4:00,监测点A2,2,33,14,11,57,0.6,23,75,1008.9,1.3,7.9
2019/4/27 5:00,监测点A2,2,48,17,11,34,0.6,23,75,1009,0.6,6
2019/4/27 6:00,监测点A2,2,55,26,11,27,0.7,23.3,74,1009.8,0.5,5.6
2019/4/27 7:00,监测点A2,3,47,20,11,34,0.7,24,72,1010,0.9,5.5
2019/4/27 8:00,监测点A2,3,55,23,13,26,0.9,23.5,76,1010.4,0.8,7.8
2019/4/27 9:00,监测点A2,4,53,28,13,33,0.9,23.6,76,1010.1,1.6,6.2
2019/4/27 10:00,监测点A2,5,65,32,17,32,0.9,24.8,73,1010.8,1.4,5.5
2019/4/27 11:00,监测点A2,6,82,54,23,11,1,24.3,73,1010,1.6,6.6
2019/4/27 12:00,监测点A2,5,85,70,30,4,1,23.3,79,1009.8,1.6,17.5
2019/4/27 13:00,监测点A2,3,70,52,32,5,0.9,22.2,85,1009.9,2.9,29.8
2019/4/27 14:00,监测点A2,2,44,23,20,32,0.7,21,88,1010.2,1.7,21.6
2019/4/27 15:00,监测点A2,2,60,40,2,21,0.8,21,87,1008.4,2,5.1
2019/4/27 16:00,监测点A2,1,49,18,11,33,0.7,21.7,86,1008,1.4,9.9
2019/4/27 17:00,监测点A2,1,49,11,10,38,0.7,22,83,1008.7,1.9,8.6
2019/4/27 18:00,监测点A2,2,58,9,11,26,0.8,22,82,1009,1.4,8.4
2019/4/27 19:00,监测点A2,2,69,19,12,10,0.9,22,83,1009,0.4,12.6
2019/4/27 20:00,监测点A2,2,70,18,14,7,0.9,22,82,1010,0.6,7.1
2019/4/27 21:00,监测点A2,3,74,21,16,2,1.1,22,84,1010.4,0.3,7.2
2019/4/27 22:00,监测点A2,3,71,30,23,3,1,22,83,1011,0.3,10.5
2019/4/27 23:00,监测点A2,4,63,34,25,5,0.8,22,81,1011,0.4,11.5
2019/4/28 0:00,监测点A2,4,64,33,23,2,0.8,22.2,83,1011,0.3,3.6
2019/4/28 1:00,监测点A2,4,63,37,19,2,0.8,22,84,1010.2,0.5,4.5
2019/4/28 2:00,监测点A2,3,63,41,23,2,0.9,22,84,1010,0.9,5.5
