监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),气压(MBar),近地风速(m/s),风向(°)
2019/4/17 4:00,监测点A3,6,88,90,57,2,1.6,21,78,1009.5,0.9,329.1
2019/4/17 5:00,监测点A3,7,86,93,56,1,1.7,21.1,78,1009.7,0.7,346.7
2019/4/17 6:00,监测点A3,7,76,102,60,2,1.8,21.1,78,1010.2,0.6,3.1
2019/4/17 7:00,监测点A3,6,75,91,60,3,1.8,21.8,76,1010.8,0.9,7.6
2019/4/17 8:00,监测点A3,11,78,100,54,6,1.7,22.9,71,1011.7,1.2,46.9
2019/4/17 9:00,监测点A3,11,82,93,47,13,1.4,23.6,67,1012.3,1.6,18.8
2019/4/17 10:00,监测点A3,0,68,88,44,50,1.2,24.6,62,1012.2,1,76.3
2019/4/17 11:00,监测点A3,7,23,90,37,0,0,25.4,58,1011.6,1.1,40.3
2019/4/17 12:00,监测点A3,16,55,67,41,120,1,26.4,56,1010.9,0.9,154.7
2019/4/17 13:00,监测点A3,16,49,83,59,171,1,27.1,54,1009.9,0.8,173.5
2019/4/17 14:00,监测点A3,13,39,105,70,232,1,27.2,54,1009,0.8,75.6
2019/4/17 15:00,监测点A3,10,39,107,76,244,1,27.8,52,1008.3,1.1,212.3
2019/4/17 16:00,监测点A3,10,57,103,71,250,1.2,27.1,56,1007.7,1.3,184.1
2019/4/17 17:00,监测点A3,7,52,171,111,206,1.2,26.6,59,1007.6,1.7,165
2019/4/17 18:00,监测点A3,6,48,133,77,139,1.2,26,62,1007.8,1.4,206.3
2019/4/17 19:00,监测点A3,6,46,104,66,108,1.2,25.7,64,1008.4,1.5,196.7
2019/4/17 20:00,监测点A3,7,40,98,61,88,1.1,25.3,66,1008.8,1.7,165.5
2019/4/17 21:00,监测点A3,8,45,70,38,57,1,24.8,68,1009.2,1.8,143.5
2019/4/17 22:00,监测点A3,8,47,71,39,43,0.9,24.4,69,1009.4,1.8,147.4
2019/4/17 23:00,监测点A3,8,37,64,29,55,0.8,24.2,68,1009.4,2,152
2019/4/18 0:00,监测点A3,8,33,48,24,54,0.8,23.9,70,1009.2,1.4,153.7
2019/4/18 1:00,监测点A3,9,40,59,27,35,0.9,23.6,72,1008.7,1.2,157.7
2019/4/18 2:00,监测点A3,12,38,60,36,32,0.9,23.5,74,1007.8,1.5,146.5
2019/4/18 3:00,监测点A3,7,17,62,38,63,0.7,23.3,73,1007.3,1.7,143.8
2019/4/18 4:00,监测点A3,5,12,38,22,76,0.7,23.3,72,1007.3,1.8,138
2019/4/18 5:00,监测点A3,9,27,33,21,55,0.7,23.3,74,1007.5,1.5,134.1
2019/4/18 6:00,监测点A3,12,33,41,31,43,0.8,23.4,73,1008,1.3,133.3
2019/4/18 7:00,监测点A3,11,28,42,32,52,0.8,23.8,72,1008.2,1.9,141.1
2019/4/18 8:00,监测点A3,9,30,40,20,61,0.8,24.2,70,1008.3,2.4,145
2019/4/18 9:00,监测点A3,12,32,41,21,66,0.8,24.6,69,1008.7,2.3,142
2019/4/18 10:00,监测点A3,15,40,45,23,64,0.8,24.8,68,1008.8,1.8,132.6
2019/4/18 11:00,监测点A3,12,39,56,26,68,0.8,24.9,68,1008.4,2,122.1
2019/4/18 12:00,监测点A3,12,28,50,25,77,0.8,25.1,68,1007.7,2.7,142.3
2019/4/18 13:00,监测点A3,9,21,40,19,74,0.7,25.2,68,1006.5,3.6,145.3
2019/4/18 14:00,监测点A3,5,22,36,15,73,0.7,25,70,1005.5,3.2,144
2019/4/18 15:00,监测点A3,6,23,35,13,68,0.7,24.7,72,1004.6,3.1,141.2
2019/4/18 16:00,监测点A3,4,26,28,13,62,0.7,24.3,78,1004.1,2.3,139.9
2019/4/18 17:00,监测点A3,4,33,28,13,46,0.8,24,81,1004.3,2.1,148.5
2019/4/18 18:00,监测点A3,6,46,24,15,33,0.9,24.1,82,1004.7,1.2,114.9
2019/4/18 19:00,监测点A3,14,51,27,22,26,0.9,24.2,81,1005,1.4,111
2019/4/18 20:00,监测点A3,7,40,35,21,29,0.8,24.2,81,1005.6,1.6,93.4
2019/4/18 21:00,监测点A3,6,34,36,23,31,0.8,24.3,80,1006,1.7,102.2
2019/4/18 22:00,监测点A3,5,19,26,20,52,0.7,24.1,77,1006.5,1.5,96.4
2019/4/18 23:00,监测点A3,5,15,17,10,64,0.6,23.7,75,1006.5,1.3,104.3
2019/4/19 0:00,监测点A3,16,20,17,10,62,0.6,23.8,73,1005.9,1,117
2019/4/19 1:00,监测点A3,22,23,22,7,50,0.6,23.7,74,1005.4,1.1,122.6
2019/4/19 2:00,监测点A3,26,28,18,8,40,0.6,23.5,75,1004.3,1.4,132
2019/4/19 3:00,监测点A3,30,29,16,8,37,0.6,23.6,75,1003.5,0.9,120.4
2019/4/19 4:00,监测点A3,17,23,19,9,39,0.6,23.5,76,1004.1,1.3,35.4
2019/4/19 5:00,监测点A3,9,35,25,17,25,0.7,23.6,77,1004.4,1.4,33.5
2019/4/19 6:00,监测点A3,7,51,28,18,6,0.7,23.6,78,1004.2,2.1,65.2
2019/4/19 7:00,监测点A3,6,48,37,15,8,0.9,24,76,1004.3,2.6,65.6
2019/4/19 8:00,监测点A3,7,45,46,20,16,0.9,24.9,74,1004.8,1.9,80.4
2019/4/19 9:00,监测点A3,9,50,45,20,7,0.9,25.4,76,1005.1,1.6,77.7
2019/4/19 10:00,监测点A3,10,54,53,24,4,1.1,25.5,77,1005.5,1.8,61.2
2019/4/19 11:00,监测点A3,8,49,69,32,8,0.9,24.6,79,1005.7,3.3,49.1
2019/4/19 12:00,监测点A3,4,29,53,27,66,0.6,22,77,1005.2,3.6,37.6
2019/4/19 13:00,监测点A3,4,29,11,2,82,0.6,21.4,80,1004.7,2.4,47.4
2019/4/19 14:00,监测点A3,4,35,10,5,75,0.7,21.6,80,1004.3,2.5,63.7
2019/4/19 15:00,监测点A3,4,34,17,8,80,0.6,21.6,79,1003.7,2.7,61.9
2019/4/19 16:00,监测点A3,4,41,16,12,70,0.7,21.6,80,1003.4,2.7,69.1
2019/4/19 17:00,监测点A3,4,51,25,17,58,0.8,21.7,80,1003.2,1.9,77.7
2019/4/19 18:00,监测点A3,4,54,36,22,49,0.8,21.8,80,1003.6,2.4,79.9
2019/4/19 19:00,监测点A3,5,48,34,17,49,0.8,21.8,80,1004.3,2.4,82
2019/4/19 20:00,监测点A3,5,51,28,24,38,0.8,21.9,80,1004.9,1.9,87.6
2019/4/19 21:00,监测点A3,5,46,36,26,41,0.8,22,80,1005.4,1.6,78.6
2019/4/19 22:00,监测点A3,8,52,32,26,29,0.9,22.2,79,1005.8,1.1,72.7
2019/4/19 23:00,监测点A3,7,63,47,28,17,0.9,22.4,79,1006,0.9,44.2
2019/4/20 0:00,监测点A3,7,76,39,30,4,0.9,22.5,79,1006.3,1,347.2
2019/4/20 1:00,监测点A3,5,68,44,34,2,0.8,22.4,79,1006,1,0.6
2019/4/20 2:00,监测点A3,5,67,52,29,1,0.9,22.2,80,1004.8,1.2,74.3
2019/4/20 3:00,监测点A3,6,69,52,36,1,0.9,22.2,80,1004.2,0.9,81.6
2019/4/20 4:00,监测点A3,8,68,63,47,1,0.9,22.3,80,1004.1,1.2,54.7
2019/4/20 5:00,监测点A3,10,67,63,43,1,0.9,22.3,79,1004,0.8,64.8
2019/4/20 6:00,监测点A3,10,60,64,47,2,0.9,22.4,79,1004.9,1,23.8
2019/4/20 7:00,监测点A3,7,55,58,40,5,0.9,22.7,78,1005.1,1.5,42.1
2019/4/20 8:00,监测点A3,8,58,52,35,12,1,23.6,75,1004.3,1.8,78.8
2019/4/20 9:00,监测点A3,8,55,56,37,11,0.9,24.5,75,1004.5,1.5,90.3
2019/4/20 10:00,监测点A3,6,55,46,24,8,0.9,24.7,76,1004.5,1.4,75.3
2019/4/20 11:00,监测点A3,5,54,61,26,4,0.9,24.5,78,1004.8,1.7,314.9
2019/4/20 12:00,监测点A3,4,36,54,24,41,0.8,22,81,1004.7,1.9,317
2019/4/20 13:00,监测点A3,4,45,8,6,36,0.8,21.9,82,1004.5,1.4,168.1
2019/4/20 14:00,监测点A3,4,55,10,5,26,0.9,22.2,82,1003.5,1.2,138.7
2019/4/20 15:00,监测点A3,6,54,13,9,30,0.9,22.9,80,1002.5,2.5,154.9
2019/4/20 16:00,监测点A3,7,55,24,17,44,0.9,24,75,1002.3,1.7,151.4
2019/4/20 17:00,监测点A3,6,53,42,21,43,0.9,24.1,74,1002.9,1.5,84.1
2019/4/20 18:00,监测点A3,5,59,36,17,29,1.1,23.6,78,1003.8,1.6,69
2019/4/20 19:00,监测点A3,6,56,31,18,27,1,23.2,80,1004,1,92
2019/4/20 20:00,监测点A3,6,49,36,18,29,0.9,23.1,80,1004.5,0.9,88.7
2019/4/20 21:00,监测点A3,6,51,32,17,22,1,23.1,80,1005.2,0.8,56.2
2019/4/20 22:00,监测点A3,6,56,38,24,15,1.1,23.2,79,1005.6,0.8,77
2019/4/20 23:00,监测点A3,5,51,34,20,13,1.1,23.3,79,1005.9,0.5,262.5
2019/4/21 0:00,监测点A3,5,59,42,26,2,1.2,23.2,81,1005.6,0.6,54.7
2019/4/21 1:00,监测点A3,5,62,40,24,2,1.1,23.1,81,1005,0.8,61.8
2019/4/21 2:00,监测点A3,8,66,33,24,1,1.1,23.1,81,1004.4,0.8,54
2019/4/21 3:00,监测点A3,6,62,49,29,1,1,23,81,1003.9,1,58.3
2019/4/21 4:00,监测点A3,6,68,44,25,1,1,23,82,1003.9,1.2,29.9
2019/4/21 5:00,监测点A3,6,65,44,31,1,1.1,23,82,1004.3,1.3,28
2019/4/21 6:00,监测点A3,6,54,55,36,1,1.2,23,82,1004.9,1.4,45.4
2019/4/21 7:00,监测点A3,6,55,63,35,4,1.2,23.4,81,1005.7,1.1,44
2019/4/21 8:00,监测点A3,8,65,59,34,4,1.4,24.2,79,1006,0.8,68.4
2019/4/21 9:00,监测点A3,13,66,63,36,7,1.2,25.3,76,1006.2,1.1,132
2019/4/21 10:00,监测点A3,11,58,68,38,13,1.1,26.5,75,1006.3,1.2,155.3
2019/4/21 11:00,监测点A3,8,62,63,30,29,1.1,27.2,74,1006,1.1,154.6
2019/4/21 12:00,监测点A3,6,67,76,35,44,1.3,27.7,74,1005.5,0.8,81.5
2019/4/21 13:00,监测点A3,6,22,84,42,46,0.8,28.2,72,1004.9,2.3,157
2019/4/21 14:00,监测点A3,5,19,33,18,46,0.8,28.8,70,1004.4,2.9,162.9
2019/4/21 15:00,监测点A3,4,17,37,14,44,0.7,28.7,70,1003.7,2.9,167.2
2019/4/21 16:00,监测点A3,4,21,35,15,38,0.7,27.6,75,1003.2,2.8,175.7
2019/4/21 17:00,监测点A3,3,18,32,13,71,0.9,25.1,75,1003.8,1.2,327.6
2019/4/21 18:00,监测点A3,3,38,26,20,38,1.2,25.6,78,1003.9,0.8,120.6
2019/4/21 19:00,监测点A3,4,32,46,24,14,1,26.8,80,1004.5,1.8,138.3
2019/4/21 20:00,监测点A3,4,27,38,22,15,0.9,26.8,79,1005.1,1.4,145.9
2019/4/21 21:00,监测点A3,5,26,40,18,15,0.9,26.8,79,1005.8,1.5,132.9
2019/4/21 22:00,监测点A3,5,38,37,17,7,1.2,26.4,80,1006.8,0.8,74.3
2019/4/21 23:00,监测点A3,5,42,49,28,2,1.2,25.8,82,1007,1,45.3
2019/4/22 0:00,监测点A3,6,40,43,27,3,1,25.7,82,1006.4,1,78.3
2019/4/22 1:00,监测点A3,8,36,49,27,2,0.9,25.6,82,1005.8,1,55.3
2019/4/22 2:00,监测点A3,8,35,41,25,4,0.9,25.4,83,1005.3,0.7,56.5
2019/4/22 3:00,监测点A3,12,34,47,21,1,0.8,25.4,82,1004.9,0.8,114.5
2019/4/22 4:00,监测点A3,12,31,44,27,2,0.8,25.6,82,1004.8,1.3,132
2019/4/22 5:00,监测点A3,9,28,39,21,5,0.7,25.8,81,1005.1,1.1,166.7
2019/4/22 6:00,监测点A3,6,25,31,17,5,0.8,25.9,81,1005.4,1.2,139.8
2019/4/22 7:00,监测点A3,7,21,34,23,17,0.9,26.3,79,1006,2,153.6
2019/4/22 8:00,监测点A3,10,18,38,21,20,0.9,27.3,73,1006.4,2.6,158.7
2019/4/22 9:00,监测点A3,8,18,37,18,27,0.8,28.2,68,1007,2.9,170.3
2019/4/22 10:00,监测点A3,6,16,42,15,34,0.7,28.7,65,1007.4,3.5,170.8
2019/4/22 11:00,监测点A3,5,16,40,20,53,0.7,29.4,63,1007.6,3.1,176.1
2019/4/22 12:00,监测点A3,4,11,41,16,65,0.7,29.8,60,1007,3.6,165.9
2019/4/22 13:00,监测点A3,4,11,38,17,68,0.7,30,59,1006.1,3,164.1
2019/4/22 14:00,监测点A3,4,13,33,9,59,0.7,30.1,59,1005.2,2.9,170.5
2019/4/22 15:00,监测点A3,4,15,36,10,51,0.6,30.4,56,1005,2.5,181.7
2019/4/22 16:00,监测点A3,4,17,38,11,45,0.7,30,57,1005.3,2.9,168.5
2019/4/22 17:00,监测点A3,4,23,26,13,34,0.7,29.5,60,1005.6,2.7,159.6
2019/4/22 18:00,监测点A3,5,28,40,17,24,0.8,29,62,1006.3,2.5,144.4
2019/4/22 19:00,监测点A3,4,42,40,12,21,1,27.4,68,1006.8,1.5,71.9
2019/4/22 20:00,监测点A3,5,22,45,21,19,0.7,28,68,1007.2,2.4,145.3
2019/4/22 21:00,监测点A3,5,25,36,12,11,0.7,27.6,68,1007.8,2.4,167.3
2019/4/22 22:00,监测点A3,5,24,37,8,9,0.7,27.3,69,1008.4,1.8,163.4
2019/4/22 23:00,监测点A3,6,28,30,12,5,0.7,26.9,72,1008.5,1.6,148.5
2019/4/23 0:00,监测点A3,8,28,34,9,6,0.7,26.6,74,1008.1,1.5,147.7
2019/4/23 1:00,监测点A3,10,29,32,10,3,0.7,26.2,76,1007.4,1,142.9
2019/4/23 2:00,监测点A3,10,27,34,14,4,0.7,26,78,1007.2,1.1,126.1
2019/4/23 3:00,监测点A3,10,26,36,14,2,0.7,26,78,1007,1,119.7
2019/4/23 4:00,监测点A3,8,27,32,11,2,0.8,25.7,79,1007.3,0.8,71.1
2019/4/23 5:00,监测点A3,7,28,33,18,2,0.8,25.5,80,1007.9,1.1,41.2
2019/4/23 6:00,监测点A3,8,26,37,23,3,0.8,25.5,81,1008.2,0.9,71.6
2019/4/23 7:00,监测点A3,11,0,46,26,8,1,26.4,78,1008.4,1,108.6
2019/4/23 8:00,监测点A3,9,20,55,28,18,0.8,27.4,72,1008.8,2.3,158.5
2019/4/23 9:00,监测点A3,9,24,39,14,30,0.8,28.8,64,1009.1,2,171.6
2019/4/23 10:00,监测点A3,14,17,53,27,44,0.7,30.3,56,1009.3,2,214.5
2019/4/23 11:00,监测点A3,11,15,42,17,66,0.6,31,54,1009.1,2,218.5
2019/4/23 12:00,监测点A3,8,12,33,14,68,0.6,31.4,52,1008.3,2.2,212.8
2019/4/23 13:00,监测点A3,6,11,30,14,68,0.6,32,51,1007.4,2.1,192.9
2019/4/23 14:00,监测点A3,6,10,25,9,69,0.6,32.1,51,1006.8,2.3,182.3
2019/4/23 15:00,监测点A3,4,12,34,11,65,0.7,31.9,52,1006.2,2.8,164.6
2019/4/23 16:00,监测点A3,4,14,33,13,57,0.7,31.6,52,1005.8,3.1,169.9
2019/4/23 17:00,监测点A3,4,17,33,10,46,0.7,31.2,54,1005.9,2.8,173.4
2019/4/23 18:00,监测点A3,5,32,39,12,24,0.8,30.3,58,1006.3,2.4,156.4
2019/4/23 19:00,监测点A3,6,32,47,19,16,0.8,29.3,62,1006.7,2.4,162.7
2019/4/23 20:00,监测点A3,5,26,46,14,17,0.8,28.7,64,1007.1,2,170.9
2019/4/23 21:00,监测点A3,4,17,34,17,24,0.7,28.1,67,1007.7,3,165.7
2019/4/23 22:00,监测点A3,4,14,29,10,25,0.7,27.6,70,1008,2.3,165.7
2019/4/23 23:00,监测点A3,4,16,25,13,20,0.7,27.3,71,1008,1.8,169.4
2019/4/24 0:00,监测点A3,4,15,27,10,21,0.7,27,72,1007.6,1.3,173.2
2019/4/24 1:00,监测点A3,5,18,23,8,16,0.8,26.8,73,1007.2,1.5,186.2
2019/4/24 2:00,监测点A3,7,27,26,12,9,0.7,26.7,74,1006.7,1.5,179
2019/4/24 3:00,监测点A3,6,24,25,13,9,0.7,26.5,75,1006,1.8,147.6
2019/4/24 4:00,监测点A3,8,24,33,15,10,0.7,26.3,76,1005.9,2,152.8
2019/4/24 5:00,监测点A3,6,25,29,14,9,0.7,26.3,75,1006.4,2,164.7
2019/4/24 6:00,监测点A3,5,19,35,18,14,0.7,26.2,75,1007.1,1.8,176.4
2019/4/24 7:00,监测点A3,5,17,32,12,20,0.8,27,72,1008,1.6,194.8
2019/4/24 8:00,监测点A3,13,19,31,12,23,0.7,28.1,65,1009,1.7,217.3
2019/4/24 9:00,监测点A3,6,16,31,14,36,0.7,28.8,62,1009.5,1.3,220.2
2019/4/24 10:00,监测点A3,0,0,38,15,0,0,30.3,55,1009.4,1.4,223.6
2019/4/24 11:00,监测点A3,10,0,39,15,76,0,30.5,54,1008.8,1.3,212.7
2019/4/24 12:00,监测点A3,5,13,48,19,91,0.5,31,51,1008.1,1.5,181.2
2019/4/24 13:00,监测点A3,4,8,41,20,91,0.4,31.4,50,1007.4,2.3,176.4
2019/4/24 14:00,监测点A3,3,9,35,26,81,0.4,31.3,50,1006.4,2.4,158
2019/4/24 15:00,监测点A3,3,13,36,26,70,0.4,32,48,1005.9,2.6,177.7
2019/4/24 16:00,监测点A3,3,15,34,13,64,0.4,31.9,49,1005.5,2.7,171.4
2019/4/24 17:00,监测点A3,3,21,39,14,49,0.5,31.2,53,1005.6,2.6,165.6
2019/4/24 18:00,监测点A3,4,24,45,19,33,0.5,30.2,57,1005.7,3.1,163.2
2019/4/24 19:00,监测点A3,4,19,42,14,31,0.5,29.2,60,1005.7,3.4,162.2
2019/4/24 20:00,监测点A3,3,20,34,14,28,0.5,28.6,63,1006.2,2.9,167.9
2019/4/24 21:00,监测点A3,3,18,32,18,28,0.4,28.1,64,1006.5,2.9,160.6
2019/4/24 22:00,监测点A3,3,18,32,15,27,0.4,27.7,66,1006.8,2.5,174.3
2019/4/24 23:00,监测点A3,4,15,34,12,32,0.4,27.3,68,1006.8,2.4,179.9
2019/4/25 0:00,监测点A3,4,17,29,14,30,0.6,27.1,70,1006.4,1.9,169.8
2019/4/25 1:00,监测点A3,4,15,28,16,30,0.4,26.9,71,1005.9,1.9,181.9
2019/4/25 2:00,监测点A3,5,22,24,9,23,0.4,26.8,72,1006,1.1,212.5
2019/4/25 3:00,监测点A3,6,21,31,15,21,0.3,26.6,73,1006,0.7,219.4
2019/4/25 4:00,监测点A3,5,24,35,21,19,0.3,26.7,73,1006.2,1.1,194.8
2019/4/25 5:00,监测点A3,9,32,37,16,10,0.4,26.7,72,1006.1,2.2,165.3
2019/4/25 6:00,监测点A3,6,26,37,20,14,0.4,26.9,69,1006,2.6,162.3
2019/4/25 7:00,监测点A3,5,23,37,22,20,0.5,27.7,64,1007,2.2,177.8
2019/4/25 8:00,监测点A3,12,21,45,25,28,0.4,28.8,59,1007.7,2.4,205
2019/4/25 9:00,监测点A3,6,16,40,17,42,0.3,29.5,57,1008.3,2.5,215.7
2019/4/25 10:00,监测点A3,5,17,49,18,46,0.3,30,56,1008.8,2.2,215.3
2019/4/25 11:00,监测点A3,4,16,45,22,64,0.3,30.5,55,1008.7,1.4,209
2019/4/25 12:00,监测点A3,4,12,45,20,69,0.3,31.9,51,1008.1,1.8,218.1
2019/4/25 13:00,监测点A3,3,10,39,21,76,0.3,32.3,50,1007.4,2,235.4
2019/4/25 14:00,监测点A3,4,9,35,17,80,0.3,32.7,49,1006.7,1.8,209.4
2019/4/25 15:00,监测点A3,4,12,39,17,74,0.3,33.2,45,1006.1,1.8,215.6
2019/4/25 16:00,监测点A3,5,16,43,16,70,0.3,33,45,1005.8,2.2,213.7
2019/4/25 17:00,监测点A3,6,20,42,16,64,0.3,32.6,47,1005.5,2.2,202.1
2019/4/25 18:00,监测点A3,4,25,47,20,52,0.4,31.4,53,1005.5,2.5,172.2
2019/4/25 19:00,监测点A3,4,31,49,23,37,0.5,30.6,57,1006,2,171.4
2019/4/25 20:00,监测点A3,4,41,57,26,19,0.5,30,59,1006.5,1.6,152.7
2019/4/25 21:00,监测点A3,6,46,61,26,10,0.5,29.3,62,1007.1,1.6,134.1
2019/4/25 22:00,监测点A3,6,37,60,24,17,0.5,28.9,62,1007.4,1.9,156.2
2019/4/25 23:00,监测点A3,6,30,49,25,24,0.4,28.7,63,1007.2,1.7,179.5
2019/4/26 0:00,监测点A3,7,40,43,19,13,0.4,28.2,66,1007.1,1.3,202
2019/4/26 1:00,监测点A3,9,48,45,22,6,0.5,27.8,68,1006.7,1.3,206.7
2019/4/26 2:00,监测点A3,10,46,45,25,6,0.5,27.5,71,1006.4,1.2,206.2
2019/4/26 3:00,监测点A3,10,43,46,27,6,0.4,27.1,73,1006.1,1.6,201.7
2019/4/26 4:00,监测点A3,10,43,47,28,6,0.3,27,74,1006.3,1.3,202.5
2019/4/26 5:00,监测点A3,9,47,44,25,5,0.3,27,74,1006.8,1.4,185
2019/4/26 6:00,监测点A3,8,34,45,22,14,0.3,27,74,1007.5,1.2,139.1
2019/4/26 7:00,监测点A3,6,22,40,23,25,0.4,27.4,73,1008.3,1.5,141.6
2019/4/26 8:00,监测点A3,6,25,47,23,31,0.4,28,70,1008.7,1.8,147.6
2019/4/26 9:00,监测点A3,5,21,51,25,45,0.4,29,65,1009.3,1.9,155.3
2019/4/26 10:00,监测点A3,7,21,52,25,56,0.3,30.2,59,1009.7,1.7,207.5
2019/4/26 11:00,监测点A3,5,19,53,22,70,0.3,30.6,55,1009.1,2.2,192.3
2019/4/26 12:00,监测点A3,5,14,62,20,87,0.3,31.6,52,1008.6,1.7,221.8
2019/4/26 13:00,监测点A3,4,23,44,19,70,0.3,29.4,58,1008,2.8,23
2019/4/26 14:00,监测点A3,3,26,47,19,64,0.3,26.9,66,1007.2,3,36
2019/4/26 15:00,监测点A3,4,33,32,13,80,0.4,29,62,1006.2,2.6,39.2
2019/4/26 16:00,监测点A3,5,42,48,19,72,0.4,29.8,62,1005.9,1.8,44.5
2019/4/26 17:00,监测点A3,5,22,55,26,74,0.4,31.1,52,1006.1,2.7,161.2
2019/4/26 18:00,监测点A3,5,24,60,29,54,0.4,30.5,55,1006.7,2.9,159.1
2019/4/26 19:00,监测点A3,5,26,51,19,41,0.4,29.6,61,1007.1,3,155.5
2019/4/26 20:00,监测点A3,5,26,47,21,35,0.4,29.1,62,1008,2.5,150.8
2019/4/26 21:00,监测点A3,4,19,42,22,38,0.3,28.6,64,1008.8,2.6,147.1
2019/4/26 22:00,监测点A3,4,24,31,17,31,0.3,28.2,68,1009.3,2,146.5
2019/4/26 23:00,监测点A3,4,17,38,20,38,0.3,28,68,1010,1.4,120.1
2019/4/27 0:00,监测点A3,5,15,29,19,40,0.3,27.9,70,1010.3,1.5,74.7
2019/4/27 1:00,监测点A3,4,20,29,16,59,0.3,25.7,67,1010.2,3.8,47.8
2019/4/27 2:00,监测点A3,4,17,31,7,80,0.3,24.2,67,1009.8,3.6,55.4
2019/4/27 3:00,监测点A3,4,17,19,7,83,0.3,24.5,64,1009.1,2.6,72.4
2019/4/27 4:00,监测点A3,6,20,20,9,68,0.3,24.7,66,1009.3,1.9,82.8
2019/4/27 5:00,监测点A3,8,27,15,11,53,0.3,24.8,67,1009.3,1.7,79.9
2019/4/27 6:00,监测点A3,7,38,25,11,34,0.4,25.1,68,1010.1,1.6,59.3
2019/4/27 7:00,监测点A3,6,43,36,13,28,0.4,25.3,68,1010.5,2,69.6
2019/4/27 8:00,监测点A3,7,49,41,19,33,0.4,25.4,67,1010.8,2.1,81.3
2019/4/27 9:00,监测点A3,8,37,49,7,56,0.4,26.5,63,1010.7,2.1,103.7
2019/4/27 10:00,监测点A3,6,27,49,20,76,0.3,27.1,61,1010.9,2.2,105.6
2019/4/27 11:00,监测点A3,7,33,43,23,70,0.3,27.1,63,1010.4,1.9,108.8
2019/4/27 12:00,监测点A3,7,37,44,25,63,0.4,26.8,66,1010.1,1.2,101.7
2019/4/27 13:00,监测点A3,7,69,55,23,8,0.6,24.3,75,1010.2,2.7,287.7
2019/4/27 14:00,监测点A3,4,36,47,30,37,0.3,21.8,82,1010.8,3.3,318.2
2019/4/27 15:00,监测点A3,3,42,9,2,34,0.4,21.9,82,1009,3.1,31.2
2019/4/27 16:00,监测点A3,3,41,9,5,39,0.4,22.2,81,1008.9,2.4,81.9
