监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),近地风速(m/s),风向(°)
2019/4/20 6:00,监测点A1,12,65,62,51,6,0.9,0,0,0,0
2019/4/20 7:00,监测点A1,12,63,59,42,8,0.9,0,0,0,0
2019/4/20 8:00,监测点A1,19,69,63,39,11,1.1,0,0,0,0
2019/4/20 9:00,监测点A1,15,69,65,36,9,1,0,0,0,0
2019/4/20 10:00,监测点A1,13,64,62,48,9,0.9,0,0,0,0
2019/4/20 11:00,监测点A1,12,66,62,31,7,0.9,0,0,0,0
2019/4/20 12:00,监测点A1,9,44,71,35,37,0.7,0,0,0,0
2019/4/20 13:00,监测点A1,9,46,20,5,42,0.8,0,0,0,0
2019/4/20 14:00,监测点A1,10,47,18,5,41,0.8,0,0,0,0
2019/4/20 15:00,监测点A1,25,47,15,11,49,0.8,0,0,0,0
2019/4/20 16:00,监测点A1,18,49,26,15,65,0.9,0,0,0,0
2019/4/20 17:00,监测点A1,20,71,34,18,48,1,0,0,0,0
2019/4/20 18:00,监测点A1,15,85,50,39,23,1.1,0,0,0,0
2019/4/20 19:00,监测点A1,15,73,47,36,18,1,0,0,0,0
2019/4/20 20:00,监测点A1,12,79,38,19,9,1.1,0,0,0,0
2019/4/20 21:00,监测点A1,12,80,37,21,6,1.1,0,0,0,0
2019/4/20 22:00,监测点A1,13,73,41,24,7,1,0,0,0,0
2019/4/20 23:00,监测点A1,12,68,44,29,8,1,0,0,0,0
2019/4/21 0:00,监测点A1,11,65,43,26,6,1,0,0,0,0
2019/4/21 1:00,监测点A1,12,66,40,21,6,1,0,0,0,0
2019/4/21 2:00,监测点A1,12,67,43,20,5,1,0,0,0,0
2019/4/21 3:00,监测点A1,12,67,46,26,5,1,0,0,0,0
2019/4/21 4:00,监测点A1,11,63,50,31,5,0.9,0,0,0,0
2019/4/21 5:00,监测点A1,10,68,43,23,4,0.9,0,0,0,0
2019/4/21 6:00,监测点A1,11,65,46,30,5,1,0,0,0,0
2019/4/21 7:00,监测点A1,12,62,51,30,6,1.1,0,0,0,0
2019/4/21 8:00,监测点A1,15,64,56,34,8,1.1,0,0,0,0
2019/4/21 9:00,监测点A1,20,74,74,43,11,1.2,0,0,0,0
2019/4/21 10:00,监测点A1,22,78,75,44,13,1.2,0,0,0,0
2019/4/21 11:00,监测点A1,18,77,92,29,21,1.3,0,0,0,0
2019/4/21 12:00,监测点A1,15,63,113,26,50,1.1,0,0,0,0
2019/4/21 13:00,监测点A1,12,51,99,27,71,1,0,0,0,0
2019/4/21 14:00,监测点A1,10,41,94,38,53,0.9,0,0,0,0
2019/4/21 15:00,监测点A1,9,31,74,32,36,0.8,0,0,0,0
2019/4/21 16:00,监测点A1,8,17,49,23,63,0.7,0,0,0,0
2019/4/21 17:00,监测点A1,9,17,39,24,91,0.7,0,0,0,0
2019/4/21 18:00,监测点A1,13,69,26,10,26,1.3,0,0,0,0
2019/4/21 19:00,监测点A1,11,62,61,16,15,1.2,0,0,0,0
2019/4/21 20:00,监测点A1,9,38,55,26,12,0.9,0,0,0,0
2019/4/21 21:00,监测点A1,9,32,43,30,11,0.8,0,0,0,0
2019/4/21 22:00,监测点A1,9,37,38,9,7,0.8,0,0,0,0
2019/4/21 23:00,监测点A1,10,32,41,10,29,0.7,0,0,0,0
2019/4/22 0:00,监测点A1,15,32,32,12,36,0.8,0,0,0,0
2019/4/22 1:00,监测点A1,11,36,42,21,5,0.8,0,0,0,0
2019/4/22 2:00,监测点A1,11,34,43,20,5,0.8,0,0,0,0
2019/4/22 3:00,监测点A1,11,32,42,18,6,0.7,0,0,0,0
2019/4/22 4:00,监测点A1,9,26,46,22,12,0.6,0,0,0,0
2019/4/22 5:00,监测点A1,9,29,37,18,7,0.6,0,0,0,0
2019/4/22 6:00,监测点A1,9,31,34,17,7,0.7,0,0,0,0
2019/4/22 7:00,监测点A1,9,26,34,22,10,0.9,0,0,0,0
2019/4/22 8:00,监测点A1,10,20,38,21,14,0.7,0,0,0,0
2019/4/22 9:00,监测点A1,11,17,38,25,25,0.6,0,0,0,0
2019/4/22 10:00,监测点A1,10,14,37,20,35,0.6,0,0,0,0
2019/4/22 11:00,监测点A1,11,14,36,20,44,0.6,0,0,0,0
2019/4/22 12:00,监测点A1,9,14,37,13,55,0.5,0,0,0,0
2019/4/22 13:00,监测点A1,10,12,46,6,62,0.5,0,0,0,0
2019/4/22 14:00,监测点A1,10,15,36,10,54,0.5,0,0,0,0
2019/4/22 15:00,监测点A1,10,20,35,11,53,0.5,0,0,0,0
2019/4/22 16:00,监测点A1,8,21,35,0,44,0.5,0,0,0,0
2019/4/22 17:00,监测点A1,9,30,33,10,34,0.6,0,0,0,0
2019/4/22 18:00,监测点A1,9,30,39,17,25,0.6,0,0,0,0
2019/4/22 19:00,监测点A1,10,50,44,15,15,0.7,0,0,0,0
2019/4/22 20:00,监测点A1,13,59,55,17,12,0.8,0,0,0,0
2019/4/22 21:00,监测点A1,10,23,51,16,20,0.6,0,0,0,0
2019/4/22 22:00,监测点A1,8,18,30,9,22,0.5,0,0,0,0
2019/4/22 23:00,监测点A1,8,16,26,9,22,0.4,0,0,0,0
2019/4/23 0:00,监测点A1,7,15,23,11,21,0.4,0,0,0,0
2019/4/23 1:00,监测点A1,8,18,35,14,19,0.5,0,0,0,0
2019/4/23 2:00,监测点A1,8,27,30,14,12,0.5,0,0,0,0
2019/4/23 3:00,监测点A1,9,33,29,16,7,0.5,0,0,0,0
2019/4/23 4:00,监测点A1,8,31,33,9,8,0.5,0,0,0,0
2019/4/23 5:00,监测点A1,9,32,31,18,6,0.5,0,0,0,0
2019/4/23 6:00,监测点A1,9,33,32,17,7,0.7,0,0,0,0
2019/4/23 7:00,监测点A1,11,34,48,22,9,0.8,0,0,0,0
2019/4/23 8:00,监测点A1,13,30,52,21,15,0.7,0,0,0,0
2019/4/23 9:00,监测点A1,13,22,51,42,29,0.6,0,0,0,0
2019/4/23 10:00,监测点A1,9,17,38,34,45,0.5,0,0,0,0
2019/4/23 11:00,监测点A1,8,18,33,26,52,0.4,0,0,0,0
2019/4/23 12:00,监测点A1,8,13,32,11,56,0.4,0,0,0,0
2019/4/23 13:00,监测点A1,7,11,27,11,66,0.4,0,0,0,0
2019/4/23 14:00,监测点A1,7,12,18,10,65,0.4,0,0,0,0
2019/4/23 15:00,监测点A1,8,8,18,0,60,0.4,0,0,0,0
2019/4/23 16:00,监测点A1,8,12,23,8,55,0.4,0,0,0,0
2019/4/23 17:00,监测点A1,8,17,16,10,45,0.4,0,0,0,0
2019/4/23 18:00,监测点A1,8,29,22,0,32,0.5,0,0,0,0
2019/4/23 19:00,监测点A1,9,33,34,3,25,0.6,0,0,0,0
2019/4/23 20:00,监测点A1,11,29,32,7,22,0.6,0,0,0,0
2019/4/23 21:00,监测点A1,9,27,36,16,21,0.6,0,0,0,0
2019/4/23 22:00,监测点A1,8,19,34,9,25,0.5,0,0,0,0
2019/4/23 23:00,监测点A1,8,18,30,17,23,0.5,0,0,0,0
2019/4/24 0:00,监测点A1,8,26,23,16,17,0.5,0,0,0,0
2019/4/24 1:00,监测点A1,9,27,27,11,13,0.5,0,0,0,0
2019/4/24 2:00,监测点A1,8,20,32,9,18,0.5,0,0,0,0
2019/4/24 3:00,监测点A1,9,25,28,9,16,0.5,0,0,0,0
2019/4/24 4:00,监测点A1,10,31,31,12,12,0.5,0,0,0,0
2019/4/24 5:00,监测点A1,10,37,28,12,7,0.5,0,0,0,0
2019/4/24 6:00,监测点A1,9,30,34,11,10,0.5,0,0,0,0
2019/4/24 7:00,监测点A1,9,20,34,16,17,0.6,0,0,0,0
2019/4/24 8:00,监测点A1,9,23,31,13,21,0.6,0,0,0,0
2019/4/24 9:00,监测点A1,9,19,29,11,28,0.5,0,0,0,0
2019/4/24 10:00,监测点A1,8,13,32,10,47,0.4,0,0,0,0
2019/4/24 11:00,监测点A1,8,12,26,7,63,0.4,0,0,0,0
2019/4/24 12:00,监测点A1,8,13,28,10,86,0.5,0,0,0,0
2019/4/24 13:00,监测点A1,8,12,33,13,96,0.5,0,0,0,0
2019/4/24 14:00,监测点A1,8,14,31,13,90,0.4,0,0,0,0
2019/4/24 15:00,监测点A1,9,13,28,10,87,0.4,0,0,0,0
2019/4/24 16:00,监测点A1,9,16,32,9,81,0.4,0,0,0,0
2019/4/24 17:00,监测点A1,10,23,35,13,61,0.5,0,0,0,0
2019/4/24 18:00,监测点A1,10,27,41,15,44,0.5,0,0,0,0
2019/4/24 19:00,监测点A1,11,25,46,16,36,0.5,0,0,0,0
2019/4/24 20:00,监测点A1,11,32,40,15,25,0.5,0,0,0,0
2019/4/24 21:00,监测点A1,10,23,44,21,29,0.5,0,0,0,0
2019/4/24 22:00,监测点A1,10,22,37,15,28,0.5,0,0,0,0
2019/4/24 23:00,监测点A1,9,18,38,13,30,0.5,0,0,0,0
2019/4/25 0:00,监测点A1,8,16,31,15,32,0.5,0,0,0,0
2019/4/25 1:00,监测点A1,9,16,31,17,33,0.5,0,0,0,0
2019/4/25 2:00,监测点A1,8,17,28,17,30,0.4,0,0,0,0
2019/4/25 3:00,监测点A1,8,29,29,13,20,0.5,0,0,0,0
2019/4/25 4:00,监测点A1,8,29,40,18,18,0.5,0,0,0,0
2019/4/25 5:00,监测点A1,8,18,30,17,28,0.5,0,0,0,0
2019/4/25 6:00,监测点A1,9,25,28,13,24,0.5,0,0,0,0
2019/4/25 7:00,监测点A1,8,23,29,15,28,0.6,0,0,0,0
2019/4/25 8:00,监测点A1,9,20,32,18,33,0.6,0,0,0,0
2019/4/25 9:00,监测点A1,8,14,33,19,47,0.5,0,0,0,0
2019/4/25 10:00,监测点A1,8,14,32,12,55,0.4,0,0,0,0
2019/4/25 11:00,监测点A1,8,13,34,16,64,0.4,0,0,0,0
2019/4/25 12:00,监测点A1,8,10,35,19,73,0.5,0,0,0,0
2019/4/25 13:00,监测点A1,8,9,30,13,83,0.4,0,0,0,0
2019/4/25 14:00,监测点A1,7,14,33,14,82,0.4,0,0,0,0
2019/4/25 15:00,监测点A1,8,12,37,21,88,0.4,0,0,0,0
2019/4/25 16:00,监测点A1,8,16,41,15,81,0.5,0,0,0,0
2019/4/25 17:00,监测点A1,8,20,36,15,69,0.5,0,0,0,0
2019/4/25 18:00,监测点A1,8,30,37,18,55,0.6,0,0,0,0
2019/4/25 19:00,监测点A1,9,38,47,19,40,0.6,0,0,0,0
2019/4/25 20:00,监测点A1,9,40,55,26,28,0.7,0,0,0,0
2019/4/25 21:00,监测点A1,13,42,52,30,22,0.7,0,0,0,0
2019/4/25 22:00,监测点A1,14,42,63,24,19,0.7,0,0,0,0
2019/4/25 23:00,监测点A1,13,38,52,19,20,0.6,0,0,0,0
2019/4/26 0:00,监测点A1,11,38,51,24,18,0.6,0,0,0,0
2019/4/26 1:00,监测点A1,10,37,50,23,17,0.6,0,0,0,0
2019/4/26 2:00,监测点A1,9,37,44,25,16,0.6,0,0,0,0
2019/4/26 3:00,监测点A1,8,32,41,22,18,0.6,0,0,0,0
2019/4/26 4:00,监测点A1,8,27,45,16,23,0.6,0,0,0,0
2019/4/26 5:00,监测点A1,8,25,46,23,23,0.6,0,0,0,0
2019/4/26 6:00,监测点A1,8,25,44,21,27,0.6,0,0,0,0
2019/4/26 7:00,监测点A1,10,30,44,27,26,0.7,0,0,0,0
2019/4/26 8:00,监测点A1,11,24,47,33,34,0.6,0,0,0,0
2019/4/26 9:00,监测点A1,13,30,54,25,39,0.6,0,0,0,0
2019/4/26 10:00,监测点A1,12,24,57,22,55,0.6,0,0,0,0
2019/4/26 11:00,监测点A1,10,22,54,22,75,0.6,0,0,0,0
2019/4/26 12:00,监测点A1,8,15,47,15,81,0.5,0,0,0,0
2019/4/26 13:00,监测点A1,8,33,40,11,77,0.6,0,0,0,0
2019/4/26 14:00,监测点A1,8,30,49,24,75,0.6,0,0,0,0
2019/4/26 15:00,监测点A1,9,34,37,18,85,0.6,0,0,0,0
2019/4/26 16:00,监测点A1,9,35,42,15,103,0.6,0,0,0,0
2019/4/26 17:00,监测点A1,10,40,46,25,103,0.6,0,0,0,0
2019/4/26 18:00,监测点A1,11,32,59,22,65,0.7,0,0,0,0
2019/4/26 19:00,监测点A1,10,23,55,20,53,0.6,0,0,0,0
2019/4/26 20:00,监测点A1,9,19,48,25,48,0.7,0,0,0,0
2019/4/26 21:00,监测点A1,10,22,46,21,40,0.7,0,0,0,0
2019/4/26 22:00,监测点A1,10,25,49,21,34,0.7,0,0,0,0
2019/4/26 23:00,监测点A1,9,20,44,18,37,0.6,0,0,0,0
2019/4/27 0:00,监测点A1,8,27,37,17,36,0.6,0,0,0,0
2019/4/27 1:00,监测点A1,8,22,41,13,73,0.6,0,0,0,0
2019/4/27 2:00,监测点A1,8,18,32,9,84,0.5,0,0,0,0
2019/4/27 3:00,监测点A1,9,23,15,4,86,0.5,0,0,0,0
2019/4/27 4:00,监测点A1,14,37,17,8,65,0.6,0,0,0,0
2019/4/27 5:00,监测点A1,18,37,24,13,55,0.6,0,0,0,0
2019/4/27 6:00,监测点A1,13,41,26,12,45,0.6,0,0,0,0
2019/4/27 7:00,监测点A1,9,59,30,13,26,0.7,0,0,0,0
2019/4/27 8:00,监测点A1,10,63,30,12,22,0.8,0,0,0,0
2019/4/27 9:00,监测点A1,10,62,37,17,28,0.8,0,0,0,0
2019/4/27 10:00,监测点A1,10,59,43,20,44,0.7,0,0,0,0
2019/4/27 11:00,监测点A1,12,82,48,16,22,0.8,0,0,0,0
2019/4/27 12:00,监测点A1,10,89,52,23,10,0.9,0,0,0,0
2019/4/27 13:00,监测点A1,9,78,46,23,12,0.8,0,0,0,0
2019/4/27 14:00,监测点A1,8,33,33,24,50,0.6,0,0,0,0
2019/4/27 15:00,监测点A1,8,50,7,2,37,0.6,0,0,0,0
2019/4/27 16:00,监测点A1,9,59,5,5,31,0.7,0,0,0,0
2019/4/27 17:00,监测点A1,13,56,17,6,36,0.8,0,0,0,0
2019/4/27 18:00,监测点A1,13,63,23,14,28,0.8,0,0,0,0
2019/4/27 19:00,监测点A1,11,70,26,14,19,0.9,0,0,0,0
2019/4/27 20:00,监测点A1,11,67,27,11,17,0.7,0,0,0,0
2019/4/27 21:00,监测点A1,9,47,28,15,32,0.6,0,0,0,0
2019/4/27 22:00,监测点A1,9,48,19,11,29,0.6,0,0,0,0
2019/4/27 23:00,监测点A1,13,53,21,9,22,0.6,0,0,0,0
2019/4/28 0:00,监测点A1,14,51,22,14,24,0.7,0,0,0,0
2019/4/28 1:00,监测点A1,12,57,26,11,15,0.7,0,0,0,0
2019/4/28 2:00,监测点A1,10,58,41,22,12,0.7,0,0,0,0
2019/4/28 3:00,监测点A1,11,75,41,20,5,0.8,0,0,0,0
2019/4/28 4:00,监测点A1,10,74,44,20,5,0.8,0,0,0,0
2019/4/28 5:00,监测点A1,10,72,44,27,6,0.8,0,0,0,0
2019/4/28 6:00,监测点A1,9,65,52,27,7,0.9,0,0,0,0
2019/4/28 7:00,监测点A1,9,59,55,33,13,0.9,0,0,0,0
2019/4/28 8:00,监测点A1,9,54,52,19,24,0.9,0,0,0,0
2019/4/28 9:00,监测点A1,12,54,62,26,38,0.8,0,0,0,0
2019/4/28 10:00,监测点A1,15,57,60,23,38,0.8,0,0,0,0
2019/4/28 11:00,监测点A1,18,52,53,23,48,0.8,0,0,0,0
2019/4/28 12:00,监测点A1,13,37,49,16,68,0.7,0,0,0,0
2019/4/28 13:00,监测点A1,13,31,45,18,82,0.7,0,0,0,0
2019/4/28 14:00,监测点A1,14,32,45,15,92,0.7,0,0,0,0
2019/4/28 15:00,监测点A1,19,32,38,20,95,0.6,0,0,0,0
2019/4/28 16:00,监测点A1,11,29,41,17,115,0.7,0,0,0,0
2019/4/28 17:00,监测点A1,10,20,58,22,94,0.7,0,0,0,0
2019/4/28 18:00,监测点A1,8,24,41,20,72,0.7,0,0,0,0
2019/4/28 19:00,监测点A1,8,25,51,22,58,0.7,0,0,0,0
2019/4/28 20:00,监测点A1,9,21,51,22,57,0.7,0,0,0,0
2019/4/28 21:00,监测点A1,9,23,42,19,51,0.7,0,0,0,0
2019/4/28 22:00,监测点A1,8,25,47,20,50,0.7,0,0,0,0
2019/4/28 23:00,监测点A1,11,22,42,18,54,0.7,0,0,0,0
2019/4/29 0:00,监测点A1,11,30,44,15,39,0.7,0,0,0,0
2019/4/29 1:00,监测点A1,10,30,41,19,33,0.6,0,0,0,0
2019/4/29 2:00,监测点A1,9,38,43,21,22,0.6,0,0,0,0
2019/4/29 3:00,监测点A1,9,39,43,22,19,0.6,0,0,0,0
2019/4/29 4:00,监测点A1,9,38,49,20,20,0.6,0,0,0,0
2019/4/29 5:00,监测点A1,13,55,47,26,6,0.8,0,0,0,0
2019/4/29 6:00,监测点A1,19,57,57,32,8,0.8,0,0,0,0
2019/4/29 7:00,监测点A1,17,54,62,30,14,0.9,0,0,0,0
2019/4/29 8:00,监测点A1,16,43,60,26,25,0.9,0,0,0,0
2019/4/29 9:00,监测点A1,20,34,51,22,39,0.8,0,0,0,0
2019/4/29 10:00,监测点A1,13,30,56,24,64,0.8,0,0,0,0
2019/4/29 11:00,监测点A1,9,15,62,26,85,0.6,0,0,0,0
2019/4/29 12:00,监测点A1,8,11,47,23,94,0.6,0,0,0,0
2019/4/29 13:00,监测点A1,9,12,42,16,84,0.5,0,0,0,0
2019/4/29 14:00,监测点A1,10,13,39,14,83,0.5,0,0,0,0
2019/4/29 15:00,监测点A1,10,12,37,14,84,0.5,0,0,0,0
2019/4/29 16:00,监测点A1,9,12,37,16,77,0.5,0,0,0,0
2019/4/29 17:00,监测点A1,8,12,40,12,70,0.6,0,0,0,0
2019/4/29 18:00,监测点A1,9,14,41,14,58,0.6,0,0,0,0
2019/4/29 19:00,监测点A1,8,16,30,12,46,0.6,0,0,0,0
2019/4/29 20:00,监测点A1,9,18,33,13,37,0.6,0,0,0,0
2019/4/29 21:00,监测点A1,8,15,35,15,37,0.6,0,0,0,0
2019/4/29 22:00,监测点A1,8,14,32,11,37,0.6,0,0,0,0
2019/4/29 23:00,监测点A1,8,13,28,13,36,0.6,0,0,0,0
2019/4/30 0:00,监测点A1,9,17,31,13,30,0.6,0,0,0,0
2019/4/30 1:00,监测点A1,10,25,28,11,22,0.6,0,0,0,0
2019/4/30 2:00,监测点A1,11,23,39,10,23,0.6,0,0,0,0
2019/4/30 3:00,监测点A1,11,20,32,12,25,0.5,0,0,0,0
2019/4/30 4:00,监测点A1,10,19,32,15,25,0.6,0,0,0,0
2019/4/30 5:00,监测点A1,9,18,29,15,24,0.6,0,0,0,0
2019/4/30 6:00,监测点A1,9,22,33,14,20,0.6,0,0,0,0
2019/4/30 7:00,监测点A1,11,22,29,10,21,0.7,0,0,0,0
2019/4/30 8:00,监测点A1,10,21,34,15,25,0.8,0,0,0,0
2019/4/30 9:00,监测点A1,10,32,34,19,17,0.8,0,0,0,0
2019/4/30 10:00,监测点A1,10,20,34,21,86,0.5,0,0,0,0
2019/4/30 11:00,监测点A1,10,18,15,2,96,0.5,0,0,0,0
2019/4/30 12:00,监测点A1,9,15,17,2,108,0.6,0,0,0,0
2019/4/30 13:00,监测点A1,10,14,22,4,112,0.6,0,0,0,0
2019/4/30 14:00,监测点A1,9,14,20,7,134,0.6,0,0,0,0
2019/4/30 15:00,监测点A1,9,19,22,11,122,0.6,0,0,0,0
2019/4/30 16:00,监测点A1,11,24,39,14,112,0.6,0,0,0,0
