监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),大气压(mBar),风速(m/s),风向(°)
2019/4/22 16:00,监测点C,7,27,2,NA,67,0.683,21.6,NULL,1002,2.6,230.7
2019/4/22 17:00,监测点C,7,30,2,1,65,0.851,21.7,NULL,1001.6,1.1,201
2019/4/22 18:00,监测点C,7,33,15,6,62,0.997,22.9,NULL,1001.8,1.5,183.7
2019/4/22 19:00,监测点C,7,30,20,7,60,0.954,23,NULL,1002.8,2,192.6
2019/4/22 20:00,监测点C,7,29,24,10,55,0.872,22.7,NULL,1003.7,2,183.2
2019/4/22 21:00,监测点C,7,27,16,7,62,0.906,22.9,NULL,1004.1,1.1,171.4
2019/4/22 22:00,监测点C,7,29,14,9,60,0.966,23.3,NULL,1004.6,1,187
2019/4/22 23:00,监测点C,7,35,19,12,48,1.073,23.3,NULL,1005.1,0.5,162.6
2019/4/23 0:00,监测点C,7,32,25,12,47,1.009,23.4,NULL,1005.3,0.6,189.1
2019/4/23 1:00,监测点C,7,31,18,14,42,0.91,23.2,NULL,1004.6,1.2,181.3
2019/4/23 2:00,监测点C,8,27,25,15,42,0.754,23.1,NULL,1004.2,1.1,187.8
2019/4/23 3:00,监测点C,8,29,24,19,32,0.816,23,NULL,1003.9,0.7,183.4
2019/4/23 4:00,监测点C,8,29,24,24,31,0.81,23.1,NULL,1003.9,0.9,182
2019/4/23 5:00,监测点C,8,30,24,23,27,0.772,23.2,NULL,1004.2,0.5,181.9
2019/4/23 6:00,监测点C,8,34,26,21,18,0.864,23.2,NULL,1004.4,0.4,210.3
2019/4/23 7:00,监测点C,9,44,18,21,12,0.883,23,NULL,1004.4,0.3,287.5
2019/4/23 8:00,监测点C,9,53,30,26,6,1.482,23.4,NULL,1004.6,0.3,104.4
2019/4/23 9:00,监测点C,10,57,36,30,7,2.163,24.3,NULL,1005,0.4,53
2019/4/23 10:00,监测点C,11,56,48,31,8,1.482,25.1,NULL,1005.6,0.4,93.9
2019/4/23 11:00,监测点C,11,56,69,48,13,1.083,26.3,NULL,1005.8,0.4,132.6
2019/4/23 12:00,监测点C,10,62,74,59,24,1.216,27.7,NULL,1005.5,0.7,128
2019/4/23 13:00,监测点C,10,59,93,61,54,0.97,29.2,NULL,1004.7,0.8,8.8
2019/4/23 14:00,监测点C,10,46,101,51,86,0.713,30.1,NULL,1003.7,0.9,306.5
2019/4/23 15:00,监测点C,11,41,72,46,98,0.763,31.2,NULL,1003.2,0.7,278.7
2019/4/23 16:00,监测点C,10,32,61,25,90,0.613,31.2,NULL,1002.7,1.2,316.5
2019/4/23 17:00,监测点C,12,24,44,13,85,0.518,31,NULL,1002.2,1.8,309.9
2019/4/23 18:00,监测点C,10,32,35,15,73,0.94,31,NULL,1002.3,0.7,283.6
2019/4/23 19:00,监测点C,10,66,49,20,42,2.095,30.6,NULL,1002.1,0.5,252.1
2019/4/23 20:00,监测点C,10,90,97,40,9,3.519,28.9,NULL,1002.4,0.7,149.4
2019/4/23 21:00,监测点C,10,77,118,53,5,4.884,28.1,NULL,1003.1,0.8,166.3
2019/4/23 22:00,监测点C,9,68,120,37,4,3.084,27.7,NULL,1003.9,0.5,169.1
2019/4/23 23:00,监测点C,9,61,76,32,5,2.341,27.5,NULL,1004.5,0.7,179.3
2019/4/24 0:00,监测点C,10,51,49,12,5,0.859,27.8,NULL,1004.3,1,323.7
2019/4/24 1:00,监测点C,10,50,31,10,4,0.736,27.4,NULL,1003.8,0.7,278.9
2019/4/24 2:00,监测点C,10,48,36,10,5,0.666,26.8,NULL,1003.1,0.9,279.8
2019/4/24 3:00,监测点C,10,41,30,8,6,0.514,26.5,NULL,1002.9,0.9,295.7
2019/4/24 4:00,监测点C,10,40,25,8,5,0.488,26.3,NULL,1002.5,0.6,307
2019/4/24 5:00,监测点C,10,39,31,9,6,0.476,26,NULL,1002.4,0.8,277.1
2019/4/24 6:00,监测点C,10,36,24,10,8,0.485,25.8,NULL,1002.8,0.6,293.9
2019/4/24 7:00,监测点C,10,38,28,12,7,0.567,25.6,NULL,1003.6,0.7,330.6
2019/4/24 8:00,监测点C,11,39,30,18,7,0.809,25.8,NULL,1004.8,0.6,355.9
2019/4/24 9:00,监测点C,13,40,40,31,12,0.778,26.2,NULL,1005.6,0.8,353.4
2019/4/24 10:00,监测点C,14,37,52,45,19,0.661,27.1,NULL,1005.8,1,284.1
2019/4/24 11:00,监测点C,14,33,50,44,28,0.597,28.5,NULL,1005.6,0.8,260.7
2019/4/24 12:00,监测点C,13,30,53,46,42,0.534,28.7,NULL,1005.4,0.9,347.2
2019/4/24 13:00,监测点C,12,26,57,49,64,0.501,29.9,NULL,1004.6,0.9,317
2019/4/24 14:00,监测点C,12,23,61,52,95,0.491,30.6,NULL,1003.9,0.9,321.1
2019/4/24 15:00,监测点C,10,27,59,50,111,0.552,30.3,NULL,1003.1,1.3,320.2
2019/4/24 16:00,监测点C,9,26,53,36,111,0.496,30.4,NULL,1002.4,1.4,315.6
2019/4/24 17:00,监测点C,10,29,63,33,97,0.572,30.9,NULL,1002,0.7,345
2019/4/24 18:00,监测点C,11,26,114,31,110,0.705,30.8,NULL,1001.6,1,321.4
2019/4/24 19:00,监测点C,10,34,60,34,100,0.888,30.3,NULL,1001.6,0.7,312.6
2019/4/24 20:00,监测点C,10,36,71,43,91,1.082,29.6,NULL,1001.7,1,254.6
2019/4/24 21:00,监测点C,10,35,80,44,53,1.268,29.2,NULL,1002.1,0.8,242.8
2019/4/24 22:00,监测点C,10,32,68,27,36,0.673,28.7,NULL,1002.7,1.1,283.5
2019/4/24 23:00,监测点C,10,32,60,24,18,0.649,28.2,NULL,1003.2,0.9,311.9
2019/4/25 0:00,监测点C,10,25,36,16,14,0.531,27.7,NULL,1003.3,1.1,347.2
2019/4/25 1:00,监测点C,9,19,28,12,17,0.443,27.3,NULL,1003,1.4,336.4
2019/4/25 2:00,监测点C,10,20,29,11,15,0.423,26.8,NULL,1002.6,1.5,308.8
2019/4/25 3:00,监测点C,10,19,27,11,14,0.419,26.3,NULL,1002.4,1.5,296.4
2019/4/25 4:00,监测点C,10,17,35,12,15,0.405,26.1,NULL,1002.5,1.1,324.4
2019/4/25 5:00,监测点C,10,19,31,13,13,0.414,25.9,NULL,1002,1.2,257.4
2019/4/25 6:00,监测点C,11,19,29,15,13,0.423,26,NULL,1002.2,0.9,296.9
2019/4/25 7:00,监测点C,14,23,34,21,8,0.503,26,NULL,1002.7,0.9,326.2
2019/4/25 8:00,监测点C,13,22,43,23,10,0.726,26.2,NULL,1003.6,0.8,2.9
2019/4/25 9:00,监测点C,16,21,41,29,16,0.638,26.6,NULL,1004.4,1,351.9
2019/4/25 10:00,监测点C,17,20,53,44,26,0.584,27.4,NULL,1004.9,1,6.3
2019/4/25 11:00,监测点C,16,26,48,39,49,0.486,28.7,NULL,1005.3,1.6,355.5
2019/4/25 12:00,监测点C,13,21,62,40,63,0.433,29.6,NULL,1005.2,1.6,2.3
2019/4/25 13:00,监测点C,11,16,70,46,82,0.414,30.3,NULL,1004.6,1.5,13.7
2019/4/25 14:00,监测点C,12,15,77,49,108,0.378,30.9,NULL,1003.9,1.3,317.1
2019/4/25 15:00,监测点C,11,15,62,46,122,0.395,31.4,NULL,1003,1.8,315
2019/4/25 16:00,监测点C,11,NA,65,47,128,0.371,32,NULL,1002.4,1.7,310
2019/4/25 17:00,监测点C,11,12,54,54,124,0.414,31.6,NULL,1002,1.7,306.7
2019/4/25 18:00,监测点C,11,24,57,53,112,0.515,31.6,NULL,1002,1.2,303.6
2019/4/25 19:00,监测点C,11,28,43,49,94,0.761,31.1,NULL,1002,1.1,288.7
2019/4/25 20:00,监测点C,10,36,49,48,75,0.841,30.6,NULL,1002.6,1,246.5
2019/4/25 21:00,监测点C,8,41,72,48,46,1.214,29.9,NULL,1003,1.1,154.8
2019/4/25 22:00,监测点C,8,40,66,36,37,1.114,29.3,NULL,1003.7,1.2,170.3
2019/4/25 23:00,监测点C,8,34,73,35,36,0.986,28.8,NULL,1003.8,1.1,180.8
2019/4/26 0:00,监测点C,7,26,69,29,50,0.676,28.1,NULL,1004.2,2.4,195
2019/4/26 1:00,监测点C,7,18,45,19,65,0.622,27.5,NULL,1003.5,0.9,210.8
2019/4/26 2:00,监测点C,7,21,29,16,64,0.624,27.1,NULL,1003.2,0.8,165.1
2019/4/26 3:00,监测点C,8,24,29,22,51,0.682,26.8,NULL,1002.7,0.5,175.7
2019/4/26 4:00,监测点C,8,26,43,22,42,0.567,26,NULL,1002.8,1.8,192.1
2019/4/26 5:00,监测点C,8,21,34,17,54,0.52,25.5,NULL,1003.1,1.7,183
2019/4/26 6:00,监测点C,8,19,21,18,57,0.533,25.5,NULL,1003.8,1,170.4
2019/4/26 7:00,监测点C,8,25,30,20,51,0.607,25.6,NULL,1004.3,1.2,176
2019/4/26 8:00,监测点C,8,28,29,22,50,0.791,26,NULL,1004.9,1,183.2
2019/4/26 9:00,监测点C,9,30,36,26,51,0.946,26.5,NULL,1005.5,0.9,182.4
2019/4/26 10:00,监测点C,11,43,43,31,38,0.866,27.1,NULL,1006.3,0.9,251
2019/4/26 11:00,监测点C,12,59,64,39,21,1.059,27.4,NULL,1006.6,0.5,65.2
2019/4/26 12:00,监测点C,11,65,84,43,14,1.311,26.6,NULL,1006.1,1,149.9
2019/4/26 13:00,监测点C,10,47,83,46,40,0.943,28,NULL,1005.5,1.4,231.3
2019/4/26 14:00,监测点C,9,34,71,39,59,0.667,28.3,NULL,1005.2,2,253.5
2019/4/26 15:00,监测点C,8,23,46,30,103,0.633,28.9,NULL,1004,1.5,241.8
2019/4/26 16:00,监测点C,8,20,32,25,132,0.587,30.2,NULL,1003.1,1.1,319.8
2019/4/26 17:00,监测点C,8,24,38,23,134,0.596,30.6,NULL,1002.8,0.9,344.2
2019/4/26 18:00,监测点C,9,27,37,22,120,0.734,30.4,NULL,1003.1,0.9,310.5
2019/4/26 19:00,监测点C,8,24,40,21,93,0.79,29,NULL,1003.4,3,189.9
2019/4/26 20:00,监测点C,9,29,41,23,72,0.765,28.4,NULL,1003.7,2.5,197.1
2019/4/26 21:00,监测点C,10,29,34,19,62,0.804,28.2,NULL,1005,1.7,184.4
2019/4/26 22:00,监测点C,8,13,36,4,94,0.554,25.6,NULL,1006.1,3.5,134.4
2019/4/26 23:00,监测点C,7,9,21,4,103,0.484,22.6,NULL,1007,2.9,253.7
2019/4/27 0:00,监测点C,7,11,2,3,96,0.521,21.2,NULL,1007.8,2,184
2019/4/27 1:00,监测点C,7,12,6,2,89,0.521,21.5,NULL,1007.9,1.5,220.6
2019/4/27 2:00,监测点C,7,13,5,2,83,0.512,21.5,NULL,1007.2,1.9,170.3
2019/4/27 3:00,监测点C,8,11,8,2,85,0.49,22,NULL,1006.5,2.2,188.1
2019/4/27 4:00,监测点C,8,11,10,6,82,0.481,22,NULL,1006.2,2,192.5
2019/4/27 5:00,监测点C,8,12,11,9,77,0.491,22.1,NULL,1006.4,1.2,178.1
2019/4/27 6:00,监测点C,8,15,14,11,68,0.517,22.2,NULL,1006.7,0.8,240.5
